Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
54;03/06/2023;8;11;13;21;38;39;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
55;10/06/2023;17;25;36;40;46;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
56;17/06/2023;1;14;27;28;44;46;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
57;24/06/2023;8;16;26;40;44;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
58;01/07/2023;3;18;21;26;28;31;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
59;08/07/2023;9;16;21;22;34;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
60;15/07/2023;4;7;17;27;36;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
61;19/07/2023;6;14;15;23;25;45;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
62;22/07/2023;4;25;29;35;44;47;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
63;26/07/2023;22;24;28;32;43;46;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
64;29/07/2023;13;18;21;33;42;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
65;02/08/2023;9;11;15;23;31;43;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
66;05/08/2023;2;17;20;28;46;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
67;09/08/2023;1;8;10;20;28;39;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
68;12/08/2023;4;15;24;29;38;41;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
69;16/08/2023;2;9;41;43;44;46;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
70;19/08/2023;1;2;16;32;37;39;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
71;23/08/2023;4;14;23;38;45;47;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
72;26/08/2023;6;7;25;35;41;48;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
73;30/08/2023;6;17;27;31;40;41;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
74;02/09/2023;2;13;30;32;33;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
75;06/09/2023;4;10;11;19;26;31;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
76;09/09/2023;8;16;23;38;42;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
77;13/09/2023;21;22;25;31;41;48;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
78;16/09/2023;5;11;12;30;41;49;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
79;20/09/2023;4;11;15;18;26;28;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
80;23/09/2023;22;27;31;32;41;47;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
81;27/09/2023;4;6;15;38;49;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
82;30/09/2023;12;13;18;21;27;34;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
83;04/10/2023;1;15;27;31;37;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
84;07/10/2023;24;27;35;42;44;46;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
85;11/10/2023;2;10;19;36;40;48;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
86;14/10/2023;2;3;9;11;22;45;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
87;18/10/2023;2;3;6;12;44;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
88;21/10/2023;2;21;30;36;42;44;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
89;25/10/2023;2;6;9;21;23;41;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
90;28/10/2023;11;17;30;42;44;50;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
91;01/11/2023;1;6;13;20;29;39;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
92;04/11/2023;5;8;20;33;45;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
93;08/11/2023;11;13;19;32;38;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
94;11/11/2023;7;20;21;24;26;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
95;16/11/2023;9;18;23;30;38;43;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
96;18/11/2023;5;13;15;22;34;41;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
97;22/11/2023;2;6;17;19;30;34;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
98;25/11/2023;15;18;23;35;47;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
99;29/11/2023;5;8;20;23;33;40;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
100;02/12/2023;11;21;32;36;37;42;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
101;06/12/2023;2;25;31;37;44;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
102;09/12/2023;10;12;15;16;29;41;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
103;13/12/2023;2;4;11;29;32;40;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
104;16/12/2023;4;17;33;38;39;47;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
105;20/12/2023;5;7;22;32;36;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
106;23/12/2023;21;22;37;42;46;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
107;27/12/2023;10;15;16;26;33;40;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
108;30/12/2023;15;31;33;35;36;44;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
109;03/01/2024;2;24;26;29;35;43;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
110;06/01/2024;1;22;25;30;36;42;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
111;10/01/2024;3;15;23;24;26;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
112;13/01/2024;9;21;26;38;40;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
113;17/01/2024;16;27;33;37;40;42;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
114;20/01/2024;3;11;20;36;47;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
115;24/01/2024;7;8;16;25;26;48;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
116;27/01/2024;4;14;30;35;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
117;31/01/2024;4;5;11;25;27;38;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
118;03/02/2024;14;25;36;37;38;41;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
119;07/02/2024;9;22;39;40;41;45;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
120;10/02/2024;1;4;10;26;32;34;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
121;14/02/2024;1;2;19;26;30;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
122;17/02/2024;4;15;18;31;32;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
123;21/02/2024;9;15;25;28;32;34;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
124;24/02/2024;1;13;17;24;44;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
125;28/02/2024;24;33;38;41;42;43;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
126;02/03/2024;4;7;28;29;31;47;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
127;06/03/2024;1;4;11;24;40;46;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
128;09/03/2024;5;15;33;40;42;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
129;13/03/2024;5;7;14;27;29;39;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
130;16/03/2024;5;6;11;26;31;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
131;20/03/2024;21;22;24;29;36;37;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
132;23/03/2024;3;25;34;38;45;46;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
133;27/03/2024;10;21;24;30;46;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
134;30/03/2024;4;7;10;11;20;26;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
135;03/04/2024;6;8;19;32;34;41;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
136;06/04/2024;15;18;20;21;22;37;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
137;10/04/2024;1;9;21;22;27;40;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
138;13/04/2024;15;31;39;42;44;45;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
139;17/04/2024;3;8;25;27;41;43;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
140;20/04/2024;6;7;14;20;40;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
141;24/04/2024;2;20;21;30;40;44;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
142;27/04/2024;11;12;23;32;40;43;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
143;04/05/2024;21;22;30;32;44;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
144;08/05/2024;15;18;19;24;33;38;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
145;11/05/2024;10;11;13;17;18;37;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
146;15/05/2024;5;19;24;28;30;37;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
147;18/05/2024;5;10;16;28;45;49;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
148;22/05/2024;5;26;28;35;47;48;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
149;25/05/2024;12;15;29;30;46;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
150;29/05/2024;22;28;29;31;39;40;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
151;01/06/2024;1;12;21;22;36;37;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
152;05/06/2024;18;21;31;32;34;36;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
153;08/06/2024;9;10;13;20;34;50;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
154;12/06/2024;13;14;16;23;40;41;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
155;15/06/2024;3;6;7;17;23;31;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
156;19/06/2024;23;27;28;35;40;46;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
157;22/06/2024;13;22;40;43;46;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
158;26/06/2024;5;15;16;39;44;48;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
159;29/06/2024;16;21;24;30;33;41;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
160;03/07/2024;10;11;12;27;32;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
161;06/07/2024;6;11;24;28;39;48;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
162;10/07/2024;12;15;16;37;38;50;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
163;13/07/2024;12;14;17;34;46;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
164;17/07/2024;10;11;14;21;22;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
165;20/07/2024;3;7;37;38;41;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
166;24/07/2024;10;19;20;42;43;44;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
167;27/07/2024;11;14;24;37;45;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
168;31/07/2024;2;14;15;28;32;33;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
169;03/08/2024;9;19;20;21;25;27;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
170;07/08/2024;9;10;19;39;43;44;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
171;10/08/2024;7;10;11;27;41;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
172;14/08/2024;5;24;36;37;41;49;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
173;17/08/2024;16;26;32;33;49;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
174;21/08/2024;9;14;18;38;40;47;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
175;24/08/2024;14;21;29;36;40;41;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
176;28/08/2024;11;12;21;22;23;38;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
177;31/08/2024;1;2;5;8;11;31;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
178;04/09/2024;9;21;30;36;37;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
179;06/09/2024;4;5;15;25;28;35;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
180;11/09/2024;4;15;26;36;39;41;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
181;14/09/2024;2;10;23;27;30;31;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
182;18/09/2024;1;11;18;29;38;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
183;21/09/2024;19;20;26;34;35;44;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
184;25/09/2024;5;8;10;22;25;39;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
185;28/09/2024;11;30;35;42;45;50;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
186;02/10/2024;3;15;16;21;25;47;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
187;05/10/2024;14;19;25;39;42;43;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
188;09/10/2024;1;9;23;30;47;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
189;11/10/2024;28;29;31;41;46;48;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
190;16/10/2024;19;28;31;37;38;40;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
191;19/10/2024;4;8;27;38;42;46;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
192;23/10/2024;1;2;27;36;39;46;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
193;26/10/2024;2;9;20;35;37;46;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
194;30/10/2024;6;8;16;32;41;47;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
195;01/11/2024;17;24;42;45;49;50;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
196;06/11/2024;1;13;21;25;35;39;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
197;09/11/2024;10;26;27;34;41;49;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
198;13/11/2024;3;7;18;19;22;41;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
199;16/11/2024;6;10;21;31;36;38;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
200;21/11/2024;5;7;10;22;28;39;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
201;23/11/2024;9;13;18;20;40;48;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
202;27/11/2024;2;6;11;17;36;46;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
203;30/11/2024;1;27;33;41;44;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
204;04/12/2024;7;9;11;15;17;42;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
205;07/12/2024;19;21;24;35;38;41;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
206;11/12/2024;6;26;36;41;44;45;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
207;14/12/2024;1;13;24;32;33;44;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
208;18/12/2024;1;2;3;12;18;25;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
209;21/12/2024;6;29;37;41;42;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
210;26/12/2024;10;11;26;33;43;47;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
211;28/12/2024;16;18;22;33;40;44;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
212;02/01/2025;25;32;39;42;46;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
213;04/01/2025;10;14;15;35;40;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
214;08/01/2025;7;8;24;28;30;46;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
215;11/01/2025;21;27;32;38;41;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
216;15/01/2025;7;18;25;27;33;40;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
217;18/01/2025;3;24;26;31;35;40;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
218;22/01/2025;10;11;24;35;42;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
219;25/01/2025;12;13;23;38;39;45;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
220;29/01/2025;5;21;22;29;36;39;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
221;01/02/2025;5;17;22;30;34;36;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
222;05/02/2025;12;18;39;40;48;49;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
223;08/02/2025;1;6;14;15;20;40;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
224;12/02/2025;5;15;25;26;30;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
225;15/02/2025;12;20;21;34;44;45;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
226;19/02/2025;5;22;24;30;36;39;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
227;22/02/2025;2;21;25;37;44;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
228;26/02/2025;3;8;13;19;31;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
229;01/03/2025;5;9;20;37;44;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
230;05/03/2025;13;14;24;34;35;39;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
231;08/03/2025;6;12;30;35;36;47;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
232;12/03/2025;4;5;21;25;26;48;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
233;15/03/2025;2;12;15;18;26;29;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
234;19/03/2025;9;14;29;33;36;41;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
235;22/03/2025;8;9;15;20;24;40;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
236;26/03/2025;1;25;27;30;36;38;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
237;29/03/2025;2;13;16;23;45;48;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
238;02/04/2025;3;12;16;21;23;35;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
239;05/04/2025;5;8;9;17;19;35;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
240;09/04/2025;10;13;15;16;30;48;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
241;12/04/2025;5;16;27;46;48;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
242;16/04/2025;6;12;13;14;35;40;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
243;19/04/2025;3;5;18;20;39;43;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
244;23/04/2025;7;12;13;24;32;42;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
245;26/04/2025;5;16;25;30;40;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
246;30/04/2025;6;17;29;40;48;50;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
247;03/05/2025;3;15;22;35;45;47;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
248;07/05/2025;18;30;37;40;43;44;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
249;10/05/2025;31;41;43;45;47;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
250;14/05/2025;19;39;40;42;45;47;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
251;17/05/2025;6;7;8;11;19;38;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
252;21/05/2025;6;10;35;38;39;46;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
253;24/05/2025;8;18;36;44;46;48;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
254;28/05/2025;4;15;16;29;38;40;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
255;31/05/2025;1;2;4;7;9;33;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
256;04/06/2025;3;19;25;33;34;37;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
257;07/06/2025;5;15;33;34;39;44;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
258;11/06/2025;4;16;20;25;44;47;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
259;14/06/2025;3;8;16;34;41;46;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
260;18/06/2025;1;3;7;18;24;43;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
261;21/06/2025;17;21;25;28;31;41;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
262;25/06/2025;5;24;32;35;46;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
263;28/06/2025;21;22;26;37;39;40;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
264;02/07/2025;23;25;37;41;43;50;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
265;05/07/2025;5;16;27;29;31;38;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
266;09/07/2025;2;9;12;24;44;45;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
267;12/07/2025;21;25;30;33;41;47;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
268;16/07/2025;1;4;5;16;36;41;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
269;19/07/2025;19;20;23;24;26;35;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
270;23/07/2025;15;18;20;23;27;31;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
271;26/07/2025;22;27;32;33;35;41;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
272;30/07/2025;5;7;18;19;32;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
273;02/08/2025;5;8;10;30;37;38;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
274;06/08/2025;1;2;22;24;25;33;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
275;09/08/2025;4;17;19;22;25;36;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
276;13/08/2025;12;16;28;35;39;46;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
